CHFId,EmergencyTypeId,EmergencyPercent
32981,16,100
33003,16,100
33070,16,100
33078,17,50
33078,16,50
33084,16,50
33084,17,50
33108,16,100
33122,16,100
33126,16,100
33139,16,100
33151,16,100
33155,16,100
33159,16,100
33161,16,100
33167,17,70
33167,16,30
33172,16,100
33181,16,100
33196,16,100
33200,16,100
33263,16,100
33274,16,100
33282,16,100
33286,16,100
33308,16,100
33310,16,100
33064,16,50
33064,17,50
33195,16,80
33195,17,20
32992,17,50
32992,16,50
33143,16,100
33170,16,100
24494,17,100
24496,17,100
24497,17,100
24498,17,100
24499,17,100
24508,17,100
24510,17,100
24512,17,100
24513,17,100
24528,17,100
26169,17,100
26171,16,100
26172,16,100
26176,16,100
26179,17,100
26182,16,100
26183,17,100
26187,16,14
26187,17,86
26188,17,100
26190,16,55
26190,17,45
26195,16,20
26195,17,80
26215,17,100
26218,17,100
26219,17,100
26228,16,100
26236,16,100
26244,16,100
26249,16,100
24507,17,100
26192,17,100
26203,16,50
26203,17,50
26224,16,100
26250,17,100
24501,17,100
24502,17,100
24503,17,100
24511,17,100
24514,17,100
24515,17,100
26170,17,75
26170,16,25
26174,17,100
26247,16,100
24763,16,100
24766,16,40
24766,17,60
24770,17,75
24770,16,25
24774,17,100
24813,16,100
24860,16,40
24860,17,60
24872,16,100
24889,16,100
24915,16,100
24927,16,100
24954,16,100
24955,16,100
24969,16,100
24974,17,100
24985,17,100
24989,16,30
24989,17,70
25009,17,100
25042,17,100
26970,16,100
24740,16,60
24740,17,40
24779,16,100
24791,16,100
24793,17,100
24795,16,100
24797,16,100
24888,16,100
24903,16,100
24977,17,50
24977,16,50
24998,16,50
24998,17,50
25051,16,100
25054,16,100
25065,16,20
25065,17,80
32939,16,100
32951,16,100
32952,16,100
32958,16,100
32961,16,100
32962,16,100
32964,16,100
32969,16,100
32970,16,100
32988,16,100
33030,16,100
33089,16,100
33093,16,100
33097,16,100
33102,16,100
33140,16,100
33142,16,100
33153,16,100
32955,16,100
32972,16,100
32979,16,100
33021,16,100
33068,16,100
33117,16,100
33137,16,100
32946,16,100
27243,17,100
27250,17,100
27251,17,100
27265,17,100
27270,17,100
27283,17,100
27286,17,100
27292,17,100
27309,17,100
27312,17,100
27328,17,100
27335,17,100
27371,17,100
27458,17,100
27464,17,100
27522,17,100
27527,17,100
27529,17,100
27532,17,100
27278,17,100
27281,17,100
27420,17,100
27431,17,100
27434,17,100
27439,17,100
27442,17,100
27446,17,100
27449,17,100
27452,17,100
27463,17,100
27465,17,100
27471,17,100
27475,17,100
27486,17,100
27491,17,100
27503,17,100
27511,17,100
27521,17,100
27523,17,100
27525,17,100
27535,17,100
25415,31,100
25590,31,100
26852,31,100
26914,31,100
26973,31,100
26981,31,100
26998,31,100
25432,31,100
25485,31,100
25492,31,100
25545,31,100
25572,31,100
25617,31,100
26889,31,100
26944,31,100
26964,31,100
26965,31,100
26966,31,100
26988,31,100
26989,31,100
26990,31,100
27000,31,100
24997,5,100
26958,18,100
26969,18,100
26979,18,100
26993,18,100
27045,9,100
27052,9,50
27052,30,50
27058,30,100
27063,9,50
27063,30,50
27074,9,100
24968,5,100
24971,5,100
24973,5,100
24993,5,100
25033,5,100
25069,5,100
27030,9,100
27042,9,100
27046,9,50
27046,30,50
27049,30,100
27090,30,90
27090,9,10
27091,30,90
27091,9,10
27093,9,100
27094,9,100
27095,9,100
27097,30,100
27107,9,50
27107,30,50
27115,9,100
27469,28,100
25003,5,100
25717,16,100
25719,16,100
25842,28,100
26166,31,100
26175,5,100
26959,18,100
27032,9,100
27040,9,50
27040,30,50
27061,30,100
27069,9,100
27239,31,100
25830,16,100
25840,16,100
25846,16,100
25863,16,100
25864,16,100
25868,16,100
25873,16,100
25876,16,100
25950,16,100
25955,16,100
25960,16,100
25967,16,100
25979,16,100
26003,16,100
25838,16,100
25852,16,100
25854,16,100
25858,16,100
25859,16,100
25861,16,100
25866,16,100
25867,16,100
25871,16,100
25872,16,100
25878,16,100
25880,16,100
25885,16,100
25890,16,100
25903,16,100
25912,16,100
25915,16,100
25937,16,100
25945,16,100
25946,16,100
25947,16,100
25969,16,100
25972,16,100
25981,16,100
25982,16,100
25985,16,100
25986,16,100
25993,16,100
25997,16,100
26000,16,100
26005,16,100
25834,16,100
25865,16,100
25836,16,100
25879,16,100
25965,16,100
25968,16,100
27744,30,100
27748,30,100
27753,30,100
27768,30,100
27783,30,100
27751,30,100
27755,30,100
27765,30,100
27818,30,100
